bet_date,uid,dealer_id,is_sentinel_dealer,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix_w,p_base_mix_unw,z_score_w,z_score_unw,z_score,delta_p,eligibility_status,comparison_id,filter_stage,filter_rule_version,cmp_time_window,cmp_population,cmp_label,z_score_alias_status,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
2026-03-30,112874672,1505,0,1037.4700476605,-160.6235352977,-160.6235352977,0.4166667,13,13,0.50046368461538462,0.500463684615,-0.5805630200858888,-0.5805630200832237,-0.5805630200858888,3.8462E-13,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191945,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,1507,0,78.9951812939,78.9951812939,78.9951812939,1.0000000,1,1,0.49324550000000000,0.493245500000,1.01360149184955,1.01360149184955,1.01360149184955,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191946,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,1654,0,78.9951812940,-27.6483134529,-27.6483134529,0.5000000,2,2,0.50665070000000000,0.506650700000,-0.018812684590367487,-0.018812684590367487,-0.018812684590367487,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191947,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,1702,0,118.4927719410,57.5348237091,57.5348237091,1.0000000,2,2,0.50665070000000000,0.506650700000,0.9867858985152569,0.9867858985152569,0.9867858985152569,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191948,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,1704,0,918.9772757197,333.4913236960,333.4913236960,0.7692308,16,16,0.50078592500000000,0.500785925000,1.9357856924023196,1.9357856924023196,1.9357856924023196,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191949,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,1711,0,171.1562261369,85.5781130684,85.5781130684,0.5000000,2,2,0.50665070000000000,0.506650700000,-0.018812684590367487,-0.018812684590367487,-0.018812684590367487,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191950,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,1941,0,52.6634541960,0E-10,0E-10,,1,1,0.50665070000000000,0.506650700000,,,,0E-17,NO_DECISIVE_ROUND,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191951,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,1949,0,184.3220896859,-184.3220896859,-184.3220896859,0E-7,1,1,0.50665070000000000,0.506650700000,-1.013391052207602,-1.013391052207602,-1.013391052207602,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191952,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,1951,0,610.8960686732,316.5073597178,316.5073597178,0.7142857,7,7,0.50090561428571429,0.500905614286,1.129103210700875,1.1291032106993646,1.129103210700875,-2.8571E-13,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191953,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,2093,0,776.7859493904,330.7264923505,330.7264923505,0.6428571,14,14,0.50090561428571429,0.500905614286,1.0622697133015946,1.0622697132994576,1.0622697133015946,-2.8571E-13,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191954,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,2108,0,389.7095610501,89.0012375912,89.0012375912,0.6000000,6,6,0.50441650000000000,0.504416500000,0.42747908374280613,0.42747908374280613,0.42747908374280613,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191955,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,2115,0,78.9951812939,0E-10,0E-10,,1,1,0.49324550000000000,0.493245500000,,,,0E-17,NO_DECISIVE_ROUND,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191956,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,2117,0,157.9903625879,157.9903625879,157.9903625879,1.0000000,1,1,0.49324550000000000,0.493245500000,1.01360149184955,1.01360149184955,1.01360149184955,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191957,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-30,112874672,2121,0,105.3269083919,-105.3269083919,-105.3269083919,0E-7,1,1,0.50665070000000000,0.506650700000,-1.013391052207602,-1.013391052207602,-1.013391052207602,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,106707.5342,95075.1759,6638.5039,1274,1273,-0.06221214,,-0.06221214,-0.06221214,-6638.5039,106707.5342,OK,0.0000,265.5402,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,265.5402,265.5402,331.9252,0.0000,0.0000,4.000000,4.000000,5.000000,0.000000,0.000000,96.000000,96.000000,95.000000,100.000000,100.000000,5.0,863.0055,826.361,5775.4984,5812.1429,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,6372.9637,91272.1688,6638.5039,6372.9637,265.5402,0.06221214,0.05972365,265.5402,6372.9637,0.05972365,265.5402,265.5402,331.9252,0.0000,0.0000,6372.9637,0.05972365,863.0055,826.361,5775.4984,5812.1429,0.05412456,0.05446797,0.00248849,83.7579,74.6859,5.2148,265.5402,16.3108,4268.3014,50.9200,,83.7579,52.3519,78.5279,109.939,141.1146,183.2317,261.7596,73.2927,0.0,2.333333,3.333333,1.066601,30,136,60,3,0E-8,0.06221214,,0E-8,0.000000,0.890988,0.000000,,2026-03-21,2026-06-26,25,407,206,98,0.255102,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,14191958,1420,A168_HF9F_20260827_0900,2026-08-27 09:00:00
