bet_date,uid,dealer_id,is_sentinel_dealer,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix_w,p_base_mix_unw,z_score_w,z_score_unw,z_score,delta_p,eligibility_status,comparison_id,filter_stage,filter_rule_version,cmp_time_window,cmp_population,cmp_label,z_score_alias_status,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
2026-04-07,131525470,-1,1,41.8815276288,15.0511739916,15.0511739916,0.6666667,3,3,0.50218230000000000,0.502182300000,0.5697959874915163,0.5697959874915164,0.5697959874915163,0E-17,SENTINEL_DEALER,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925034,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-07,131525470,1304,0,80.3601811376,-80.3601811376,-80.3601811376,0E-7,1,1,0.50665070000000000,0.506650700000,-1.013391052207602,-1.013391052207602,-1.013391052207602,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925035,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-07,131525470,1507,0,26.1759547680,0E-10,0E-10,,1,1,0.50665070000000000,0.506650700000,,,,0E-17,NO_DECISIVE_ROUND,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925036,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-07,131525470,1710,0,26.1759547680,26.1759547680,26.1759547680,1.0000000,1,1,0.49324550000000000,0.493245500000,1.01360149184955,1.01360149184955,1.01360149184955,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925037,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-07,131525470,2130,0,50.7813522498,48.2422846373,48.2422846373,1.0000000,2,2,0.50665070000000000,0.506650700000,1.3955260008387969,1.3955260008387969,1.3955260008387969,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925038,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-07,131525470,2142,0,73.2926733504,-6.2822291443,-6.2822291443,0.6666667,4,4,0.49994810000000000,0.499948100000,0.5775300591747329,0.5775300591747329,0.5775300591747329,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925039,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-07,131525470,2147,0,26.1759547680,-26.1759547680,-26.1759547680,0E-7,1,1,0.49324550000000000,0.493245500000,-0.9865810262130424,-0.9865810262130424,-0.9865810262130424,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925040,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-07,131525470,2169,0,36.1228175798,-36.1228175798,-36.1228175798,0E-7,2,2,0.49324550000000000,0.493245500000,-1.3952362676504506,-1.3952362676504506,-1.3952362676504506,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925041,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-07,131525470,2256,0,26.1759547680,0E-10,0E-10,,1,1,0.50665070000000000,0.506650700000,,,,0E-17,NO_DECISIVE_ROUND,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925042,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-08,131525470,-1,1,70.9368374213,-41.6197680811,-41.6197680811,0.3333333,4,4,0.49994810000000000,0.499948100000,-0.5771704854251445,-0.5771704854251445,-0.5771704854251445,0E-17,SENTINEL_DEALER,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925043,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-08,131525470,1396,0,7.8527864304,-7.8527864304,-7.8527864304,0E-7,1,1,0.49324550000000000,0.493245500000,-0.9865810262130424,-0.9865810262130424,-0.9865810262130424,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925044,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-08,131525470,1405,0,13.6114964793,-13.6114964793,-13.6114964793,0E-7,1,1,0.50665070000000000,0.506650700000,-1.013391052207602,-1.013391052207602,-1.013391052207602,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925045,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-08,131525470,2209,0,26.1759547680,-26.1759547680,-26.1759547680,0E-7,1,1,0.50665070000000000,0.506650700000,-1.013391052207602,-1.013391052207602,-1.013391052207602,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,4813.5884,3984.0278,-61.8305,157,157,0.01284500,,0.01284500,0.01284500,61.8305,4813.5884,OK,0.0000,-2.4732,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6027,-12.4604,-48.2278,-49.3701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3573,3824.6667,-61.8305,-59.3573,-2.4732,-0.01284500,-0.01233120,-2.4732,-59.3573,-0.01233120,-2.4732,-2.4732,-2.4732,-3.0915,-3.0915,-59.3573,-0.01233120,-13.6027,-12.4604,-48.2278,-49.3701,-0.01001910,-0.0102564,-0.00051380,30.6598,25.3760,-0.3938,-4.1220,-0.5424,320.9059,10.4667,,30.6598,13.1659,26.176,39.4976,52.6635,78.5279,104.3374,23.6986,0.0,3.0,3.986001,1.171296,29,64,9,2,0E-8,-0.01284500,,0E-8,0.000000,0.827663,0.000000,,2026-03-21,2026-04-08,15,114,103,19,0.789474,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925046,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-05-09,149776270,-1,1,14.0106896373,-3.1134865860,-3.1134865860,0.5000000,3,3,0.49324550000000000,0.493245500000,0.01910635448239258,0.01910635448239258,0.01910635448239258,0E-17,SENTINEL_DEALER,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,156.7122,119.8692,-61.8287,14,14,0.39453642,,0.39453642,0.39453642,61.8287,156.7122,THIN_EXPOSURE,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-3.0914,-3.0914,-3.0914,-3.0914,4.000000,5.000000,5.000000,5.000000,5.000000,96.000000,95.000000,95.000000,95.000000,95.000000,5.0,-14.8389,-13.4832,-46.9898,-48.3454,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3555,115.0745,-61.8287,-59.3555,-2.4731,-0.39453642,-0.37875497,-2.4731,-59.3555,-0.37875497,-2.4731,-3.0914,-3.0914,-3.0914,-3.0914,-59.3555,-0.37875497,-14.8389,-13.4832,-46.9898,-48.3454,-0.29984768,-0.30849829,-0.01578146,11.1937,8.5621,-4.4163,-20.6096,-12.3657,52.2374,4.6667,,11.1937,3.3729,7.2648,17.1242,22.8322,37.3618,41.5132,3.8919,1.2973,5.142857,5.714286,1.540816,4,5,4,2,0E-8,-0.39453642,,0E-8,0.000000,0.764901,0.000000,,2026-05-09,2026-05-18,3,5,5,10,0.300000,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925047,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
