bet_date,uid,dealer_id,is_sentinel_dealer,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix_w,p_base_mix_unw,z_score_w,z_score_unw,z_score,delta_p,eligibility_status,comparison_id,filter_stage,filter_rule_version,cmp_time_window,cmp_population,cmp_label,z_score_alias_status,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
2026-07-03,151940610,462,0,5.1097575931,-5.1097575931,-5.1097575931,0E-7,1,1,0.49324550000000000,0.493245500000,-0.9865810262130424,-0.9865810262130424,-0.9865810262130424,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925118,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-03,151940610,994,0,9.4019539713,9.1464660916,9.1464660916,1.0000000,2,2,0.49994810000000000,0.499948100000,1.4143603653603398,1.4143603653603398,1.4143603653603398,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925119,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,-1,1,99.1292973063,-5.7229285043,-5.7229285043,0.4666667,18,18,0.49622443333333333,0.496224433333,-0.22896000380081225,-0.22896000379823137,-0.22896000380081225,3.3333E-13,SENTINEL_DEALER,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925120,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1004,0,8.1756121490,-0.2043903037,-0.2043903037,0.5000000,2,2,0.49994810000000000,0.499948100000,0.00014679536856514622,0.00014679536856514622,0.00014679536856514622,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925121,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1299,0,4.0878060745,-4.0878060745,-4.0878060745,0E-7,1,1,0.50665070000000000,0.506650700000,-1.013391052207602,-1.013391052207602,-1.013391052207602,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925122,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1318,0,4.0878060745,3.8834157708,3.8834157708,1.0000000,1,1,0.50665070000000000,0.506650700000,0.9867858985152569,0.9867858985152569,0.9867858985152569,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925123,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1353,0,8.1756121490,-8.1756121490,-8.1756121490,0E-7,1,1,0.50665070000000000,0.506650700000,-1.013391052207602,-1.013391052207602,-1.013391052207602,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925124,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1399,0,20.0302497650,11.8546376160,11.8546376160,0.7500000,4,4,0.49659680000000000,0.496596800000,1.0136362796769356,1.0136362796769358,1.0136362796769356,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925125,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1957,0,56.6161141315,8.3800024528,8.3800024528,0.5000000,14,9,0.44023506330579332,0.410332920370,0.3405228792843463,0.5155922695400555,0.3405228792843463,0.02990214293579332,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925126,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1963,0,18.3951273352,-6.1317091118,-6.1317091118,0.2500000,4,4,0.49324550000000000,0.493245500000,-0.9730707933947887,-0.9730707933947887,-0.9730707933947887,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925127,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1985,0,4.0878060745,-4.0878060745,-4.0878060745,0E-7,1,1,0.50665070000000000,0.506650700000,-1.013391052207602,-1.013391052207602,-1.013391052207602,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925128,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,1990,0,8.1756121490,7.7668315415,7.7668315415,1.0000000,1,1,0.50665070000000000,0.506650700000,0.9867858985152569,0.9867858985152569,0.9867858985152569,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925129,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,2088,0,4.0878060745,4.0878060745,4.0878060745,1.0000000,1,1,0.49324550000000000,0.493245500000,1.01360149184955,1.01360149184955,1.01360149184955,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925130,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-05,151940610,2115,0,4.2921963782,-4.2921963782,-4.2921963782,0E-7,1,1,0.49324550000000000,0.493245500000,-0.9865810262130424,-0.9865810262130424,-0.9865810262130424,0E-17,ELIGIBLE,R03b_20260811_FULL_v1,L1_ELIGIBILITY,v2026-08-11,2026-03-21..2026-08-06,baccarat_bet02_101_all_pairs_incl_sentinel,round_win = game_pnl > 0 (decisive only),COMPATIBILITY_ONLY_NOT_PRODUCTION,1369.5616,1219.1650,-61.8269,284,279,0.04514357,,0.04514357,0.04514357,61.8269,1369.5616,OK,0.0000,-2.4731,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,4.000000,4.000000,4.000000,5.000000,5.000000,96.000000,96.000000,96.000000,95.000000,95.000000,5.0,-13.6019,-12.4597,-48.2250,-49.3672,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-59.3538,1170.3984,-61.8269,-59.3538,-2.4731,-0.04514357,-0.04333783,-2.4731,-59.3538,-0.04333783,-2.4731,-2.4731,-2.4731,-3.0913,-3.0913,-59.3538,-0.04333783,-13.6019,-12.4597,-48.2250,-49.3672,-0.03521198,-0.03604598,-0.00180574,4.8224,4.3698,-0.2216,-20.6090,-0.7826,456.5205,93.0000,,4.8224,4.1543,4.1543,5.1098,6.1417,8.1756,8.3557,4.1543,0.0,1.967993,2.011347,1.160824,25,52,3,5,0E-8,-0.04514357,,0E-8,0.000000,0.890186,0.000000,,2026-06-23,2026-07-05,3,79,58,13,0.230769,,,0.000000,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,3925131,393,A168_HF9F_20260827_0900,2026-08-27 09:00:00
